"attribute","แอตทริบิวต์, คุณลักษณะ",
"audio","ออดิโอ, เกี่ยวกับเสียง, เสียง",
"audio player","เครื่องเล่นเสียง, ตัวเล่นเสียง, อุปกรณ์เล่นเสียง, โปรแกรมเล่นเสียง",
"auditing","การตรวจสอบความถูกต้อง, การตรวจสอบประสิทธิภาพ",
"Australia","ออสเตรเลีย","เครือรัฐออสเตรเลีย (Commonwealth of Australia)"
"Austria","ออสเตรีย","ประเทศในทวีปยุโรป, สาธารณรัฐออสเตรีย (Republic of Austria)"
"authentication","การยืนยันตัวบุคคล",
"author","ผู้เขียน, ผู้แต่ง",
"authorization","การอนุญาต, การตรวจสอบสิทธิ์",
"auto","อัตโนมัติ",
"auto complete","คุณสมบัติการเติมข้อมูลอัตโนมัติ, เติมเต็มคำอัตโนมัติ",
"auto correct","แก้ไขอัตโนมัติ",
"auto detect","ตรวจสอบอัตโนมัติ, ตรวจหาอัตโนมัติ, ตรวจหาอัตโนมัติ",
"auto dial","เรียกเลขหมายอัตโนมัติ",
"auto fill","เติมอัตโนมัติ, เติมค่าอัตโนมัติ",
"auto filter","ตัวกรองอัตโนมัติ",
"auto fit","พอดีอัตโนมัติ, ทำให้พอดีอัตโนมัติ",
"auto form","ฟอร์มอัตโนมัติ, รูปทรงอัตโนมัติ, รูปแบบอัตโนมัติ, รูปร่างอัตโนมัติ",
"auto format","รูปแบบอัตโนมัติ, จัดรูปแบบอัตโนมัติ",
"auto hideclose",,
"auto hyphenation","ยัติภังค์อัตโนมัติ, การเติมยัติภังค์อัตโนมัติ",
"auto include","รวมเข้าอัตโนมัติ",
"auto layout","เค้าโครงอัตโนมัติ",
"auto manager","ตัวจัดการอัตโนมัติ",
"auto mark","ทำเครื่องหมายอัตโนมัติ",
"automatically","โดยอัตโนมัติ",
"auto number","ลำดับเลขอัตโนมัติ, ใส่ลำดับเลขอัตโนมัติ, วางลำดับเลขอัตโนมัติ, เลขลำดับอัตโนมัติ",
"auto page","เลขหน้าอัตโนมัติ, ใส่เลขหน้าอัตโนมัติ, จัดวางเลขหน้าอัตโนมัติ",
"auto pick","เลือกอัตโนมัติ",
"auto play","เล่นอัตโนมัติ",
"auto preview","แสดงตัวอย่างอัตโนมัติ",
"auto report","รายงานผลอัตโนมัติ, รายงานอัตโนมัติ, แบบรายงานอัตโนมัติ",
"auto resize","ปรับขนาดอัตโนมัติ",
"auto save","บันทึกข้อมูลอัตโนมัติ, บันทึกอัตโนมัติ",
"auto select","เลือกอัตโนมัติ",
"auto shape","รูปทรงอัตโนมัติ, รูปร่างอัตโนมัติ",
"auto signature","ลายเซ็นอัตโนมัติ",
"auto spellcheck","ตรวจสะกดคำอัตโนมัติ, ตรวจการสะกดคำอัตโนมัติ",
"auto start","เริ่มการทำงานอัตโนมัติ, เริ่มอัตโนมัติ",
"auto sum","ผลรวมอัตโนมัติ, การแสดงผลรวมอัตโนมัติ, รวมผลอัตโนมัติ, แสดงผลรวมอัตโนมัติ",
"auto summarize","สรุปอัตโนมัติ",
"auto switch","สลับอัตโนมัติ",
"auto text","ข้อความอัตโนมัติ",
"auto thumbnail","รูปขนาดย่ออัตโนมัติ",
"auto tray","ช่องถาดอัตโนมัติ",
"auto view","มุมมองอัตโนมัติ",
"auxiliary","อุปกรณ์เสริม",
"availability","สภาพพร้อมใช้งาน",
"available","ที่มีอยู่",
"average","ค่าเฉลี่ย, โดยเฉลี่ย, ปานกลาง, เฉลี่ย",
"axis","แกน",
"Azerbaijan","อาเซอร์ไบจาน","ชื่อประเทศในยุโรปตะวันออก, สาธารณรัฐอาเซอร์ไบจาน (Republic of Azerbaijan)"
"backend","แบ็กเอนด์, เสริมหลัง",
"background","แบ็กกราวนด์, พื้นหลัง, ฉากหลัง, เบื้องหลัง, พื้นหลัง",
"backside","ด้านหลัง, ส่วนหลัง",
"backslash","แบ็กสแลช",
"backspace","แบ็กสเปซ",
"backup","แบ็กอัพ, สำรองข้อมูล, สำรอง",
"bad blocks","พื้นที่เสีย",
"Bahamas","บาฮามาส","เครือรัฐบาฮามาส (Commonwealth of the Bahamas)"
"Bahrain","บาห์เรน","ราชอาณาจักรบาห์เรน (Kingdom of Bahrain)"
"balance","ความสมดุล, สมดุล, ทำให้สมดุล",
"bandwidth","แบนด์วิดท์, ย่านความถี่, ความกว้างของช่วงคลื่น, แถบกว้างของสัญญาณ",
"Bangladesh","บังกลาเทศ","สาธารณรัฐประชาชนบังกลาเทศ (People&#8217;s Republic of Bangladesh)"
"banner","แบนเนอร์, ป้ายโฆษณา, ป้ายประกาศ",
"bar","บาร์, แท่ง, แผนภูมิแท่ง",
"Barbados","บาร์เบโดส",
"bar code","บาร์โค้ด, แถบรหัสแท่ง",
"bargraph","แผนภูมิแท่ง, กราฟแท่ง",
"base","ฐาน, หลัก",
"baseline","บรรทัดฐาน, บรรทัดหลัก, ค่ามาตรฐาน",
"basetype","ชนิดหลัก, ประเภทหลัก",
"BASIC","ภาษาเบสิก",
"basic","พื้นฐาน",
"Basque","ภาษาแบ็ซค์",
"bass","เบส, เสียงทุ้ม",
"battery","แบตเตอรี่",
"BBS","กระดานข่าว","Bulletin Board System"
"BCC","ซ่อนทำสำเนา","Blind carbon copy"
"BDB","BDB",
"beep","เสียงปี๊บ, ส่งเสียงปี๊บ",
"beginner","ผู้เริ่มหัด, ผู้เริ่มต้น, ระดับหัดเล่น, ผู้เล่นระดับเริ่มต้น",
"behavior","ลักษณะการทำงาน, รูปแบบการทำงาน",
"Belarus","เบลารุส","สาธารณรัฐเบลารุส (Republic of Belarus)"
"Belgium","เบลเยียม","ราชอาณาจักรเบลเยียม (Kingdom of Belgium)"
"Belize","เบลีซ",
"bell","กริ่ง, ออด, กระดิ่ง, กริ่งปลุก, กริ่งเตือน, ออดเตือน",
"Beijing","ปักกิ่ง",
"Benin","เบนิน","สาธารณรัฐเบนิน (Republic of Benin)"
"best fit","พอดี",
"best quality","คุณภาพดีที่สุด, คุณภาพสูงสุด",
"beta","เบต้า",
"beta test","เบต้าเทสต์, การทดสอบภาคสนาม, การทดสอบขั้นทดลอง, การทดสอบขั้นเบต้า",
"bevel",,
"bezier",,
"beziergon",,
"bezierline",,
"Bhutan","ภูฏาน","ราชอาณาจักรภูฏาน (Kingdom of Bhutan)"
"bibliography","บรรณานุกรม",
"bidirectional","สองทาง, สองทิศทาง",
"billing",,
"billion","พันล้าน",
"bin","ไบนารี, ฐานสอง",
"binary","ไบนารี, ฐานสอง, เลขฐานสอง",
"binding","ไบน์ดิง",
"binomial distribution","การแจกแจงทวินาม",
"BIOS","ไบออส","Basic input output system"
"biosphere","ไบโอสเฟียร์",
"bit","บิต",
"bitmap","บิตแมป",
"bitrate","บิตเรท",
"black","ดำ, สีดำ",
"blank","ที่ว่าง, ว่าง, ช่องว่าง",
"blast","ระเบิด, การระเบิด",
"blaster","บลาสเตอร์",
"blend","ผสม, การผสม",
"blink","กะพริบ",
"blob","รอยเปื้อน, หยดสี",
"block","บล็อค",
"Maithili","ภาษาไมถิลี",
"blonde","บลอนด์, สีบลอนด์",
"blue","น้ำเงิน, สีน้ำเงิน",
"blue-gray","น้ำเงินเทา",
"blueprint","พิมพ์เขียว, แบบพิมพ์เขียว",
"BMP","BMP","Basic Mapping Support, Basic Multilingual Plane, Batch Message Processing Program"
"boardgames","เกมกระดาน",
"body","เนื้อหา, เนื้อความ, เนื้อเรื่อง, ตัวข้อความ, ข้อความ",
"bogus","เทียม, เก๊, ไม่จริง, ปลอม",
"bold","หนา",
"Bolivia","โบลิเวีย","สาธารณรัฐโบลิเวีย (Republic of Bolivia)"
"book","สมุด, สมุดงาน",
"bookmark","บุ๊กมาร์ก, คั่นหน้า, ระบุหน้า, ที่คั่นหนังสือ, ที่คั่นหน้า",
"boolean","ตรรกะ, บูลีน","ค่าจริงหรือเท็จที่ใช้ในการเขียนโปรแกรม"
"boot","บูต",
"border","กรอบ, ขอบ, เส้นกรอบ",
"borderfill","เติมเส้นขอบ, เติมขอบ, การเติมขอบ, การเติมเส้นกรอบ",
"Bosnia and Herzegovia","บอสเนียและเฮอร์เซโกวีนา",
"Botswana","บอตสวานา","สาธารณรัฐบอตสวานา (Republic of Botswana)"
"bottom","ล่าง, ใต้, ด้านล่าง, ด้านใต้",
"bounce","ตีกลับ, เด้ง, เด้งกลับ, สะท้อนกลับ, เปลี่ยนเส้นทาง",
"box","บ็อกซ์, กล่อง",
"brace","วงเล็บปีกกา",
"bracket","เครื่องหมายวงเล็บ, วงเล็บ",
"braid","เกลียว, เปีย, ถักเกลียว, ถักเปีย",
"braille","อักษรเบรลล์",
"brainstorm","ระดมสมอง, ระดมความคิด",
"branch","สาขา, แขนง",
"brand","ตรา, เครื่องหมายการค้า, ประทับตรา",
"Brazil","บราซิล","สหพันธ์สาธารณรัฐบราซิล
 (Federative Republic of Brazil)"
"break","หยุด, พัก, แบ่ง, แยก, ละเมิด, ทำลาย",
"breakpoint","จุดพัก",
"bright","สว่าง, จ้า",
"brightness","ความสว่าง",
"broadcast","กระจายข่าว, เผยแพร่ข่าว, ออกอากาศ, กระจายเสียง, แพร่ภาพ",
"Brochure","โบรชัวร์, แผ่นพับโฆษณา",
"broken","เสียหาย, มีปัญหา, เสีย",
"brown","น้ำตาล, สีน้ำตาล",
"browse","การค้นหารายการข้อมูล, ค้นหารายการข้อมูล, เรียกแฟ้มข้อมูล, เรียกดูรายการข้อมูล, เรียกดู, เลือก, เรียกดู",
"browser","เบราว์เซอร์",
"Brunei","บรูไน, บรูไนดารุสซาลาม","ชื่อประเทศในทวีปเอเชีย"
"brush","แปรง",
"BSD","BSD","Berkely Software/Standard Distribution"
"BSOD","BSOD",
"bubble","ฟอง, ฟองอากาศ",
"buffer","บัฟเฟอร์, ที่พักข้อมูลชั่วคราว",
"buffering","การเก็บข้อมูลชั่วคราว",
"bug","บั๊ก, จุดบกพร่อง",
"build","สร้าง",
"builder","ผู้สร้าง, ตัวสร้าง",
"build-host","เครื่องที่สร้าง",
"build-time","เวลาที่สร้าง",
"built-in","มีอยู่ภายใน",
"Bulgaria","บัลแกเรีย","ชื่อประเทศในทวีปยุโรป, สาธารณรัฐบัลแกเรีย (Republic of Bulgaria)"
"bullet","สัญลักษณ์กำกับข้อย่อย, สัญลักษณ์แสดงข้อย่อย, รายการ",
"bulletin board","กระดานข่าว",
"bullets number","เลขกำกับลำดับข้อ, เลขลำดับข้อ",
"bump","กระแทก, ชน",
"Burkina Faso","บูร์กินาฟาโซ",
"Burundi","บุรุนดี","สาธารณรัฐบุรุนดี (Republic of Burundi)"
"business","ธุรกิจ, กิจการ, งาน, กิจ",
"busy","ยุ่ง, ไม่ว่าง, ไม่ว่าง",
"button","ปุ่ม, ปุ่มคำสั่ง",
"byte","ไบต์",
"C","ภาษาซี","C Programming Language"
"C++","ภาษาซีพลัสพลัส",
"cache","แคช, ที่เก็บข้อมูลชั่วคราว, ที่ซ่อนข้อมูลชั่วคราว, เก็บข้อมูลชั่วคราว, ซ่อนข้อมูลชั่วคราว",
"cachegrind",,
"calculate","คำนวณ",
"calculator","เครื่องคำนวณ, เครื่องคิดเลข",
"calendar","ปฏิทิน",
"call","เรียก, เรียกโปรแกรม, เรียกดู, เรียกดูโปรแกรม",
"callback","การเรียกกลับ",
"call out",,
"Cambodia","กัมพูชา","ราชอาณาจักรกัมพูชา (Kingdom of Cambodia)"
"camera","กล้อง, กล้องถ่ายรูป",
"Cameroon","แคเมอรูน","สาธารณรัฐแคเมอรูน (Republic of Cameroon)"
"Canada","แคนาดา",
"cancel","ยกเลิก",
"canvas",,
"caps lock","แคปล็อค, ปุ่มล็อคตัวพิมพ์ใหญ่, ปุ่มล็อคแคร่",
"capacity","ความจุ, พื้นที่, เนื้อที่",
"Cape Verde","เคปเวิร์ด","สาธารณรัฐเคปเวิร์ด (Republic of Cape Verde)"
"capitalization","การใช้ตัวพิมพ์ใหญ่",
"capsules","แคปซูล",
"caption","คำอธิบาย, ป้ายอธิบาย, ป้ายบรรยาย",
"capture","จับภาพ, บันทึกภาพ, เก็บข้อความ, การจับภาพ, การบันทึกภาพ, รับ (ภาพหรือเสียง), จับ (ภาพ, เสียง)",
"card","บัตร, ไพ่, แผ่นวงจร",
"cardbus","การ์ดบัส",
"cardgames","เกมไพ่",
"cardinality",,
"carpet","พรม, ปูพรม",
"cascade","การจัดเรียงซ้อนลดหลั่น",
"case","เคส, ตัวถังเครื่อง",
"case","ตัวอักษร, ตัวพิมพ์",
"case sensitive","แยกแยะตัวพิมพ์ใหญ่-เล็ก",
"cash","เงินสด",
"casual","โดยบังเอิญ, ไม่เป็นทางการ, เป็นครั้งคราว",
"catalog","แค็ตตาล็อก, บัญชีรายการ, ทำบัญชีรายการ",
"category","ประเภท, ชนิด, หัวข้อ, รายการ, หมวดหมู่",
"caution","ข้อควรระวัง, ระวัง",
"cc","สำเนาถึง","Carbon Copy"
"CD","คอมแพกต์ดิสก์, ซีดี","Compact disc"
"CD-R","ซีดีอาร์","Compact Disc-recordable"
"CD-ROM","ซีดีรอม","Compact Disk - Read Only Memory"
"cell","เซลล์, ช่อง",
"cellular","เซลลูล่าร์",
"center","กลาง, ตรงกลาง",
"centimeter","เซนติเมตร",
"Central African Republic","สาธารณรัฐแอฟริกากลาง",
"certificate","ประกาศนียบัตร, ใบรับรอง",
"certified","ที่ได้รับการรับรอง",
"Chad","ชาด","สาธารณรัฐชาด (Republic of Chad)"
"chain","โซ่, ห่วงโซ่",
"chalkboard","กระดานดำ",
"challenge [authentication]","รหัสสอบถาม","คำถามเพื่อตรวจสอบรหัสผ่านแบบไม่ส่งรหัสผ่านโดยตรง"
"chance","โอกาส",
"change","เปลี่ยน, เปลี่ยนแปลง, การเปลี่ยนแปลง, ความเปลี่ยนแปลง",
"changelog","บันทึกการเปลี่ยนแปลง, บันทึกความเปลี่ยนแปลง",
"channel","แชนเนล, ช่อง, ช่องสัญญาณ, ช่องสื่อสาร",
"chapter","บท",
"character","อักขระ, คุณลักษณะ",
"character map","ตารางรหัสตัวอักษร",
"character set","ชุดอักขระ, ชุดอักษร",
"char cell","ชาร์เซลล์, เซลล์อักขระ",
"charging","กำลังชาร์จไฟ, กำลังชาร์จแบตเตอรี่",
"chart","ชาร์ต, แผนภูมิ, แผนผัง",
"charting","การใช้แผนภูมิ, การใช้แผนผัง",
"chart space",,
"chat","สนทนา",
"check","เช็ก, ตรวจ, ตรวจสอบ, ทำเครื่องหมาย, กาเครื่องหมาย",
"check bit",,
"check box","เช็กบ็อกซ์, กล่องกาเครื่องหมาย, กล่องเลือก, กล่องกากบาท",
"checked-in",,
"checked-out",,
"checkerboard","ตารางหมากรุก",
"checkers","หมากรุก",
"checkmark","เครื่องหมายตรวจสอบ",
"chemistry","คุณสมบัติทางเคมี, วิชาเคมี",
"chevron","รูปตัววี",
"child process","โพรเซสลูก",
"children","เด็ก, ลูก",
"Chile","ชิลี","ชื่อประเทศในทวีปอเมริกาเหนือ, สาธารณรัฐชิลี (Republic of Chile)"
"chime",,
"China","จีน","ชื่อประเทศในทวีปเอเชีย, สาธารณรัฐประชาชนจีน (The People&#8217;s Republic of China)"
"chiseled",,
"chord","คอร์ด",
"chrome",,
"chronogram",,
"Cicero",,
"circle","วงกลม, รูปทรงกลม",
"circuit","เซอร์คิต, วงจรกระแสไฟฟ้า, วงจร",
"circular","รูปวงกลม",
"city","เมือง",
"civil","เกี่ยวกับพลเมือง",
"clapping",,
"class","กลุ่ม, ชั้น",
"classic","คลาสสิก",
"classical","คลาสสิก",
"classification","การแบ่งกลุ่ม, การจัดกลุ่ม, การแยกประเภท",
"classified","แยกประเภท",
"clean","สะอาด, ทำความสะอาด, ล้าง, ลบ",
"clean text","ลบข้อความ, ล้างข้อความ",
"cleanup","การทำความสะอาด, กระบวนการทำความสะอาด",
"clear","เคลียร์, ลบ, ล้าง, ลบล้าง",
"click","คลิก",
"client","ผู้ขอใช้บริการ, ไคลเอนต์, ลูกข่าย",
"client-server","ไคลเอนต์-เซิร์ฟเวอร์",
"snippet","ข้อความสั้น",
"clip","คลิป",
"clipart","คลิปอาร์ต",
"clipboard","คลิปบอร์ด",
"clock","นาฬิกา",
"clockwise","ตามเข็มนาฬิกา",
"close","ปิด",
"closing","ที่ปิดท้าย (คำพูด), การปิด",
"club",,
"clustered","เป็นกลุ่ม",
"cm","ซม.","เซนติเมตร"
"CMYK","CMYK","ย่อมาจาก cyan, magenta, yellow, black"
"coarse","หยาบ",
"code","โค้ด, รหัส, เขียนรหัส, ใส่รหัส, ป้อนรหัส, เขียนโปรแกรม",
"code segment","โค้ดเซกเมนต์",
"coding","การเข้ารหัส",
"coefficient","สัมประสิทธิ์",
"coin","เหรียญ",
"COL","COL","Collision + Computer Oriented Language"
"collaboration","การร่วมมือ, ผลงานร่วม",
"collaborator","ผู้ทำงานร่วมกัน, ผู้จัดทำ",
"collapse","ย่อเก็บ, ยุบ, พับเก็บ",
"collate","เทียบเคียง, ตรวจเทียบ, ตรวจทาน, ลำดับหน้า",
"collect","รวบรวม, เก็บรวบรวม",
"collection","ชุด",
"collision","การชนกัน",
"Colombia","โคลอมเบีย","ชื่อประเทศในทวีปอเมริกาใต้, สาธารณรัฐโคลอมเบีย (Republic of Colombia)"
"Colombo","โคลัมโบ","เมืองหลวงของสาธารณรัฐสังคมนิยมประชาธิปไตยศรีลังกา"
"colon","ทวิภาค, เครื่องหมายทวิภาค",
"color","สี, ระบายสี",
"color depth","ระดับสี, ความลึกของสี, จำนวนบิตสี",
"coloring","การเติมสี, การใส่สี",
"colorize","เติมสี, ใส่สี",
"color-mapped","จับคู่สี",
"column","คอลัมน์, สดมภ์, แถวตั้ง",
"combination","การเชื่อม, การผสม",
"combo",,
"combo box","กล่องคอมโบ",
"comma","จุลภาค, เครื่องหมายจุลภาค",
"command","คำสั่ง, สั่ง",
"command line","บรรทัดคำสั่ง",
"command prompt","พร้อมต์คำสั่ง",
"comment","คำอธิบาย, หมายเหตุ, ความเห็น",
"commissioned",,
"commit",,
"common property",,
"communicate","ติดต่อสื่อสาร",
"Comoros","คอโมโรส","สหพันธ์สาธารณรัฐอิสลามคอโมโรส (Islamic Federal Republic of the Comoros)"
"compact","คอมแพกต์, บีบอัด, กระชับ",
"compass",,
"compatible","ที่เข้ากันได้, ใช้แทนกันได้, แบบเดียวกัน",
"compete","แข่งขัน",
"competitor","ผู้แข่งขัน",
"compile","คอมไพล์",
"compiler","คอมไพเลอร์",
"complement","คอมพลีเมนต์",
"complex","ซับซ้อน",
"component","ส่วนประกอบ, องค์ประกอบ",
"compose","ประกอบ, เรียบเรียง, เขียน (เมล, จดหมาย)",
"composer","ผู้ประพันธ์, ผู้แต่ง, การเขียนจดหมาย, เครื่องมือการเขียนจดหมาย",
"compress","บีบอัด, อัด, บีบ",
"computer","คอมพิวเตอร์",
"concatenate","การเชื่อมสตริง, การต่อสตริง",
"concave","เว้า",
"condense","บีบ",
"condition","เงื่อนไข",
"conduit","ท่อ",
"conferencing","การประชุม",
"confidential","เป็นความลับ, ลับ, ลับเฉพาะ",
"config","ตั้งค่า, การตั้งค่า, ค่าตั้ง",
"configuration server","เซิร์ฟเวอร์ค่าตั้ง",
"configuration","การตั้งค่า",
"configure","ตั้งค่า",
"confirm","ยืนยัน",
"conflict","ขัดแย้ง",
"confuse","สับสน",
"Congo Republic","สาธารณรัฐคองโก","สาธารณรัฐคองโก (Republic of The Congo)"
"congratulation","ข้อความแสดงความยินดี, การพูดแสดงความยินดี",
"conical","ทรงกรวย, รูปกรวย",
"connect","เชื่อมต่อ, ติดต่อ",
"connector","ตัวเชื่อมต่อ, เส้นเชื่อม",
"consecutive","ที่ต่อเนื่องกัน",
"consensus","ความเห็นต้องกัน, ความเห็นสอดคล้อง",
"console","คอนโซล",
"consolidate","ผสาน",
"constant","คงที่, ค่าคงที่",
"constraint","ข้อจำกัด",
"consumer","ผู้บริโภค, ผู้ใช้",
"contact","ติดต่อ, ที่อยู่ติดต่อ",
"contact list","รายชื่อการติดต่อ, รายชื่อที่อยู่ติดต่อ",
"contain","บรรจุอยู่, ประกอบด้วย",
"contemporary","ร่วมสมัย",
"content","เนื้อหา",
"context","บริบท",
"continue","ทำต่อไป, ทำต่อเนื่อง, ต่อไป, ต่อเนื่องไป",
"continuous","ต่อเนื่อง",
"contract","หดตัว",
"contraction","การหดตัว",
"contrast","ความต่างระดับสี, การตัดกันของสี",
"contribution",,
"contributor",,
"control","คอนโทรล, ควบคุม, การควบคุม, ปุ่มควบคุม",
"controller","ตัวควบคุม",
"control panel","แผงควบคุม",
"convened","ชุมนุม, รวมกัน",
"convenience","ความสะดวก, สิ่งอำนวยความสะดวก",
"conversation","การสนทนา, หัวข้อการสนทนา",
"conversion","การแปลง, การแปลงค่า, การแปลงระบบ",
"converse",,
"convert","แปลง",
"converter","เครื่องมือแปลงค่า, อุปกรณ์แปลงค่า",
"cookie","คุกกี้",
"cooperate","ร่วมมือ",
"cooperation","ความร่วมมือ",
"coordinator","ผู้ประสานงาน",
